,ref
5000,"Typically, a data-base searcher that selects information according to personal interests, which the computer deduces from every previous search conducted by the operator."
5001,Big Iron Tough talk among computer salesmen to designate large computer systems that cost millions of dollars.
5002,"Such machines are not exactly a disappearing breed, but they are increasingly replaced by workstations that are growing steadily in power and speed."
5003,"When one enters prison for the first time, many new things must be learned--and learned fast."
5004,"Such things as where to go, what to and what not to do, how to behave with one's fellow inmates, and how to communicate with them."
5005,"Primarily created as a self-defence measure against eavesdroppers, prison slang in its own evocative way describes common and not so common experiences, emotions, and professions."
5006,"Inmates are not refused, they are knockbacked ; they are not told to leave but to Do one ."
5007,"If one hears of someone having Gone into one , he has not entered anything other than a state of extreme annoyance."
5008,"Also, we do not ignore somebody; we blank him."
5009,"It is far better to act in a trustworthy manner, thus one will be considered sound ."
5010,"Whilst many of these terms may have entered the common vernacular, that is not the case with the majority."
5011,"For, not only are convicts or screws prison officers the only people to use them, they are likely to be the only people to know them."
5012,"Each crime has its own particular name, so the inmate in for screwing burglary and the one in for hoisting shoplifting, can be distinguished from the blagger robber."
5013,"Prison has a fairly fluid social structure, depending on the crimes committed, for how long and how much was earned."
5014,"One thing is certain though: however much thieves-- kiters bad check passers, petermen safecrackers, and ringers car thieves who disguise and resell them--as well as those already mentioned jockey for position, all despise the nonce sex offender."
5015,"Though the prison generally decides who is placed on 43s, an inmate may place himself on 43s, a process referred to as Going on the numbers ."
5016,"Regardless of the color of his clothes, an e-man one regarded as a potential or actual escaper will be in pathches wearing clothes to which bright yellow patches have been sewn."
5017,"Like the e-man someone who is on cat A in maximum security will find life very restrictive, with all his movements being recorded in a little book."
5018,A Cat A man is thus also referred to as being on the book .
5019,"To prevent moral corruption, adults and Y.P.s young prisoners: those under 21 are placed in different parts of the jail."
5020,"Visiting Order, are one of the few things to look forward to."
5021,"One of the most beautiful names in the animal kingdom is the binomial for the evening grosbeak , the bird that was thought to sing only when night draws nigh."
5022,"The binomial not only gives information, it also dispels confusion."
5023,"The evening Igrosbeak is also called the western evening grosbeak , and the American hawfinch ."
5024,Cynthia's specimen was the big poplar sphinx moth. Hawkmoths are also called sphinx moths .
5025,But big poplar sphinx does not say the same thing to everybody.
5026,"There are one thousand different hawkmoths and sphinx moths in the world, and there are over a hundred thousand moths in other families of moths, and among them there are many dozens of poplar moths, big and little."
5027,"The confusion can be avoided by using the moth's Latin name which was established two hundred years ago by a natural scientist named Carolus Linnaeus, and by the two-name namers who followed after him."
5028,"Binomial nomenclature uses a generic and a specific term, used to designate species."
5029,"Only the binomial, Pachysphinx modesta , pins down what Cynthia found."
5030,All we need to say is modesta when we talk about this genus of moth to other people--all over the world.
5031,Even scientists use different colloquial names for animals.
5032,"Other lepidopterists named the wood satyr the blue-eyed grayling , others, the goggle eye ."
5033,"The correct name, the binomial, is Cercyonis pegala , and that is the only name that correctly identifies this butterfly everywhere, to everyone."
5034,"Also, anyone discussing the Satyridae family of butterflies will know that just plain pegala designates the goggle eye the wood satyr , the blue-eyed grayling , the wood nymph ."
5035,"They are referring to Nymphalis antiopa , and this binomial jumps all geographical boundaries, crosses through every language, through all the alphabets, and determines this animal's true identity."
5036,"Perhaps a good start for Cynthia's further exploration of the animal kingdom would be with dinosaurs, cats, and dogs."
5037,"Another dog, domesticated, is bred in many varieties: Canis familiaris is a family-type canine."
5038,"In order to distinguish him from other varieties of Canis familiaris I gave my dog an extra, varietal name: Thunder."
5039,There is a lot of information in those three words.
5040,"Our parents had to invent our varietal names in order to single us out, to call out to us."
5041,"Other animals probably do the same, for each other and for their children."
5042,"Although we can sometimes take the shortcut to just the specific name, it is better to use both names at first mention, unless we are sure the people addressed know what genus we are talking about, because many of the same specific names are used in other genera."
5043,"Also, since most specific names contain words that are more descriptive than those used in the names of the various general--like the Latin words for modest, beautiful, amiable , and magnificent , for example--there are not enough to go around, not just for other genera, but for the millions of other living things in all the tribes, families, orders, and classes in the animal and vegetable kingdoms."
5044,"Our own, specific, descriptive name, sapiens , comes from the Latin word to know."
5045,About a dozen other animals bear this same specific name.
5046,"Our generic name, Homo , is akin to another Latin name, humanus human and to humus earth."
5047,"All living things includes, of course, the vegetable kingdom."
5048,"All plants, from seaweeds to orchids, follow the rules of binomial nomenclature."
5049,"Some of the most interesting names, and flowers, in the vegetable kingdom are found, fittingly, in the Orchidaceae family."
5050,"You may never see the beautiful animal that flies through the night while you dream sweet dreams, but your namesake, the moth Samia, cynthia surely hovers out there in the dark watching over you."
5051,"Covered in the text are over 20,000 English sayings."
5052,"So it remains to see just which 20,000 sayings Wilkinson has chosen to analyze and record."
5053,"Many of the last are likely to be found in dictionaries, but modern dictionaries do not offer such useful treatment, which essentially links to a word or phrase the culture of the people who use it."
5054,"It would be grossly unfair to continue without quoting the author's purpose, set forth in an Introduction, which is all too brief considering the complexity of the subject."
5055,"Metaphor is often used to warn or conceal from a third party, as in your barn door's open."
5056,"In this category are all euphemisms, but they contain the seeds of their own decay."
5057,Many good metaphors have therefore been excluded because of this inevitable ephemerality.
5058,There are also two large groups which are not admissible as metaphors because they derive arbitrarily from sound-similarities without the necessary sense-relationship.
5059,"These are based on puns like camp as a row of tents, and on rhymes--plates of meat etc."
5060,"Occasionally, rhyme and reason happily coincide, as in skin-and-blister = sister, but for true metaphors there must be some sense connexion, otherwise the substitute word or phrase is merely used randomly, or like a secret code."
5061,"Another group of metaphors excluded is the names of natural species such as footman and emperor moths, lady's slipper, shepherd's purse, porpoise, etc."
5062,"Purely literary metaphors have been excluded, except for those which have become traditional by general acceptance, as have many Shakespearean sayings as well as titles and phrases from modern authors."
5063,"The result is, in large measure, a catalogue of the treatment once given in those older dictionaries that might, in an entry for kink , have defined it as a condition of a piece of wire then continued with, hence, kinky twisted, abnormal, perverted."
5064,"The thematic categories, TINKER, TAILOR, SOLDIER, SAILOR, RICHMAN, POORMAN, BEGGARMAN, THIEF, with AT HOME, AT SCHOOL, and AT PLAY added to allow for entries not otherwise classifiable, I find a bit too whimsical, especially when one finds Farmers, Farm Animals, and associated subcategories listed under RICHMAN, while those who tend them appear under POORMAN; the impression is that the author is subtly trying to pass on some sort of cynical message."
5065,"Also, it is important to note that the categories describe the literal content of the metaphor, not the metaphoric aspect."
5066,"Metaphors are the shibboleths of language and culture, and proper imaginative, apt control of them is an indicator of one's knowledge of both."
5067,"Within a language, they can be culture-specific or cross-cultural, dialect-specific or cross-dialectal."
5068,"The discussions often went on for hours, all afternoon and well on into the evening."
5069,"Though hardier in those days, my constitution was somewhat affected by jet lag, as I had usually arrived only that morning or the day before from the U.S. On one occasion, as our deliberations were drawing to a close after many months, we came to a particularly niggling point of dispute regarding the cost of some phase of the project--I have forgotten which--and, in frustration and exasperation, I burst out with, You must realize that if you want to earn a penny, you've got to spend a penny!"
5070,"Nouns and verbs are the mainstay of the metaphors treated, but adjectives are in very short supply."
5071,"Still, I return to my point regarding certain omissions, for the purpose of a reference book is not solely to serve those who wish to look up metaphors they hear, but ones they read, as well."
5072,"The liberal arts need not be regarded as ends in themselves--that is, to produce artists, writers, and other practitioners--but to create well-rounded human beings who are passing familiar, if only subconsciously, with the underpinnings of their society based on the bedrock of their culture."
5073,"At worst, modern education ignores totally the whole person; at best, it pays his tutelage mere lip service."
5074,"Each entry in that book was accompanied by a source reference, more than a thousand of which were listed in the Bibliography preceding the Index."
5075,There are no references to sources in the text at all.
5076,"For the casual user, they might not be important, but their absence makes the book virtually useless for the serious researcher."
5077,"Moreover, I, for one, should like to know the source that pins down to California the expression so low he could sit on a cigarette paper and hand his feet over the edge: given no gloss, does this refer to low depressed, low degraded, or low abject?"
5078,Who is it that has attributed to America the Pepysian He cannot whip a cat but I must beat the tail of it?
5079,Spill the beans is in wide use in Britain and should not be labeled American: the OED shows it as orig.
5080,"Lollipop lady/man school crossing guard, on the other hand, carries no label at all, which one takes to mean it is universal, but it is virtually unknown in America."
5081,"On the other hand, returning to omissions."
5082,"Surely it cannot appear as a label, since the phrase, which is literal, hence not an entry, is a description of a military punishment."
5083,"Such are the problems with a new work, and they might be corrected and improved in later editions, for which one profoundly hopes there proves just reason."
5084,"One is bound to wonder, For whom is the book intended?"
5085,"At the price, it is clearly not to be found in the book rack at the airport, and one must conclude that libraries are the likely target."
5086,"Despite their reputation for distrusting polyglots, it is by no means unusual for Englishmen to be bilingual."
5087,"Though snobs and the stuffier sorts of pedagogues are toffee-nosed about regional dialects, poets such as Ted Hughes have acclaimed the organic way they have of fitting the syllables/To the long swell of the land."
5088,"The critics of dialect often single it out as lazy speech, citing for example the Lancashire 'em for them ."
5089,The difficulty of communicating across these regional and class barriers is considerable.
5090,Received English is an essential part of the cultural baggage of the Cornishman or the Highlander who refuses to be confined to some sort of parochialism for life.
5091,"Oddly enough, the more unworldly sorts of academics run the risk of this self-imposed isolation because their particular dialect renders them incapable of being understood outside a very restricted circle."
5092,"The problem, however, was not what one might have expected: the misunderstandings did not occur because the immigrant's English was poor."
5093,"They were quite capable of telling a British colleagues, We've carried out a bronchoscopy, inserted an endotrachial tube, provided assisted ventilation, and positioned a catheter in his bladder to monitor his urinary output."
5094,"What they could not fathom was the British version of the same procedures: We've bronched him, tubed him, bagged him, and cathed him."
5095,The confusion was even greater when immigrant physicians failed to understand the patients who attended their surgeries.
5096,"Eventually, the situation was recognized by the Ministry of Health and passing an examination in English--of a sort--became a condition of employment."
5097,The manual explained that to understand your patients you must be able to understand the colloquial and idiomatic expressions they use and you must be able to speak to them in a simple way so that they'll understand you.
5098,"It's me waterworks, doctor, a patient suffering from some disorder of the urinary tract would complain to an uncomprehending physician who thought he had been mistaken for a plumber."
5099,"One would also have to forgive the Indian subcontinent's most highly trained cardiologist for failing to recognize that It's me dickey ticker, doctor--which sounds as if the patient requires the services of a watch-repairer--is an allusion to longstanding heart disease."
5100,"Medical practitioners born and bred in the United Kingdom are just as guilty as their patients of spreading these opaque synonyms, abetted in their case by a fondness for a special kind of baby-talk that is supposed to reassure the patient: We're just going to pop you into the operating theatre and have a little peep in your tummy."
5101,A London gynecologist was explaining her impending hysterectomy to an understandably concerned patient.
5102,"Old Sussex dialect is sadly dying out, save in the remoter villages, where the oldest inhabitants still speak it naturally."
5103,"That is a great pity, as Sussex rustice were once famous for their amusing knack of adapting words to suit their own requirements."
5104,"For example, a touch of the old brown crisis would mean an attack of bronchitis and I mises would be Sussex shorthand for I surmise or guess."
5105,Typical of the county is still the arbitrary pronounciation of the letters ee: sheep is often pronounced as ship and week as wick.
5106,"The old West Sussex tendency is to add an extra syllable to monosyllabic words, so cow becomes cayoo, or fowl is pronounced fewoll."
5107,In East Sussex respectively these would be kew and fewl.
5108,"The true Sussexer has problems with the letter h , so one old traditional dish is the Plum 'eavy, the highway is naturally the ighway, etc."
5109,"In East Sussex th is often pronounced as d, so that the, them , and that become de, dem, and dat."
5110,Due to the old Sussex dialect the village folk could quickly divide all those they met into the sheep and goats: the homelings were the natives and the comelings those who had come into Sussex from another county.
5111,"Frequently heard old expressions include Shennagoo for shall not go, and Drackly for straight away, directly."
5112,High praise is tidy middling and middling is very fair!
5113,"Darngurt is Sussex speak for anything very large, as this county is naturally given to emphatic statements."
5114,An overdressed woman may be summed up as looks like a sow saddled and any impossible task calls forth the comment I can't suck flour and whistle!
5115,"Leaves back'ards up'ards, it's going to rain was a favorite saying of the ancient Sussex shepherds."
5116,Counting words in Sussex were often used by agricultural workers.
5117,"Many writers have collected gems of Sussex dialect down the years, like Rev."
5118,"Broom dasher was the traditional Sussex description of a roughly dressed or roughly behaved person, and someone of low intelligence was described as chuckle-headed, a term not unfamiliar to Americans."
5119,"To be fair clemmed meant to be very hungry, cold, or miserable. Darn ma wig is a humorous expression of surprise."
5120,"Frouden means to be afraid or to be frit, whilst feeling ill was once expressed as I be gellish ornary today."
5121,"Goistering was a curious term for loud feminine laughter; a bad worker was called latchety: his excuse might well be, Old Laurence has got hold of me today!"
5122,Time and time again the dry Sussex sense of humor breaks through.
5123,The sadly defunct Horsham to Steyning railway line was called the linger and die.
5124,"My obedience was a mother's reference to her first-born child, and a ditherer was called a mess-pot ."
5125,The folklore of the county is particularly rich and this too gives colorful phrases.
5126,"The Miller's glory refers to the sweeps of the windmill set in the sign of a cross, said to bring luck to anyone in the village getting married."
5127,"Pharisees fairies are also deep in Sussex folklore, while something too complex to understand is called wigwams for goose's bridles."
5128,January butter is the name for the mud it was thought lucky to bring into the house on one's feet on January 1st.
5129,"Why the other day he was in a tarrible stodge cause he mus catch the London train, an' prensly there he was back again."
5130,He most-in-ginral goos along reading an' a whiffle of wind blew his book an he disremembered what he'd gone for!
5131,"The familiar pennies, halfpennies, sixpences, half-crowns, florins, etc."
5132,"Into our language came a new description, a pee two pees, and so on, according to the price charged, for decimal currency, but out of use went the nicknames and slang terms used in Britain for the previous currency."
5133,"This had previously happened in Australia, which went over to decimal currency in 1966."
5134,"In Britain tenner, tanner, bob, oncer, guinea, quid, and other terms were in common use in conversation when purchasing an item."
5135,It is interesting how some of these names and slang money names arose.
5136,The name tanner for a sixpence coin was first used at the beginning of the 19th century.
5137,"The reason is obscure but may come from the gypsy word tano or tawno meaning little, as it was a small coin compared with others then in circulation."
5138,It may also be so called for the same reason it was called a Simon.
5139,"The name of the small silver threepenny coin, known as the threepenny joey or just joey, had the origin in another small coin, a fourpenny piece or groat."
5140,Hume's idea was for a convenient coin to pay for short cab journeys. The dissatisfied London cabmen did not like it.
5141,"Until then they were usually given a sixpence, the nearest single coin to the amount of the fare and few people hiring the cab bothered to ask for the change."
5142,"When the fourpenny groat was introduced passengers handed that over and the cabbies were down twopence on each journey, so they nicknamed it Joey and frequently spat on it in disgust before pocketing it whenever one was given to them in payment."
5143,It was last struck for currency use in 1855.
5144,"But in 1845 a silver threepence had been reintroduced and after the disappearance of the fourpenny joey , the nickname was transferred to the threepenny joey ."
5145,"Cockney slang for a half-crown coin was tusheroon, tossaroon, or tosheroon , a corruption of another slang term for this coin, madza caroon, a corruption of the Italian mezzo half corona crown."
5146,"The term guinea , which had a value of twenty-one shillings, arose because the first guinea coins were minted in 1663 from gold brought from the Guinea region of West Africa."
5147,But the guinea was not always valued at twenty-one shillings: from 1663 it varied from twenty shillings to thirty shillings; its value was not fixed at 21 shillings till 1717.
5148,"Guineas ceased to be minted in Britain in 1813, but continued until decimal introduction, as a term used in pricing goods and services."
5149,"However, it was first used by criminals as a slang term for a guinea as long ago as 1688."
5150,"The terms nicker for a one-pound note and half a nicker for a ten-shilling note are New Zealand expressions that arrived in Britain, and they were also widely used by counterfeiters in the underworld."
5151,They also called their forged half-crowns large whites and forged shillings small whites.
5152,Half a bar for ten shillings was first used by gypsies in the 19th century.
5153,The word bar for pound might have originated from the Romany word bauro big and heavy.
5154,"Cockneys also used to call ten-shilling notes gennets , the origin of which I have been unable to trace."
5155,"Sovereign and guinea coins have been called bleeders, Jemmy O'Goblins, glisteners, Janes, harlequins, jingleboys, yellow boys, red rogues, megs, shiners, rainbows , and thick 'uns."
5156,"It should also not be forgotten that in the rural languages there are also words referring to coins, money, etc."
5157,"Scimminger was the name for a counterfeit coin, while Bargain Pence was earnest money, a low-value coin given on striking a bargain, making a deal at a market, or in similar circumstances."
5158,"Bald Pates is almost self-explanatory, being a name used in Kent rural areas for silver Roman coinage ploughed up, found in barrows, etc."
5159,"Proverbs, those self-contained nuggets of folk wisdom, can be addictive."
5160,"She was a short, plump woman with iron-gray hair in a bun, and she liked nothing better than putting in her two cents' worth."
5161,"She was a dilatory walker, with always the same quip: Slow and steady wins the race."
5162,"Reading that the government was going to raise taxes, she thumped the newspaper and intoned, You can't squeeze blood from a turnip."
5163,"If ever asked to explain one of her rare periods of quiet, she would reply, Still waters run deep."
5164,"My aunt's visits were infrequent during my childhood, and it was only after her husband died and I was in high school that she began seeing my parents on a regular basis."
5165,"Hearing that I regularly went to sleep after midnight, she lectured me: Early to bed and early to rise makes a man healthy, wealthy, and wise."
5166,"When I took a trip to Atlantic City and gambled away the amount I had intended, she warned, A fool and his money are soon parted."
5167,She even found fault with my studious habits: All work and no play makes Jack a dull boy.
5168,"It is hard to counter a proverb: they have all the plodding force of a mule-driving peasant, earthy and inevitable."
5169,"So when my aunt related gospel like Blood is thicker than water, I could think of no answer but a sullen nod."
5170,"That is, until one day when I was helping my mother fix dinner for a family occasion and my aunt came into the kitchen."
5171,"She asked how she could help, and when I protested that we had everything under control, she placed her hands on her hips and told me, Many hands make light work."
5172,"My aunt opened her mouth to reply, but nothing came out."
5173,"Several weeks later, I was complaining about having to buy a new suit, and my aunt happened to be within earshot."
5174,"After that, my aunt was a lot more careful what she said around me, like a burnt child that shuns the fire."
5175,But eventually she reverted to her old proverbial ways.
5176,"On one occasion, I had spent half my allowance on an expensive pair of sneakers, and when she told me I should have bought a cheaper brand, I simply betmoaned my small stipend and wondered if I would ever amass any significant sum of money."
5177,"If my proverbial aunt was going to advise me, I was bound to devise some counter-stratagem."
5178,"Luckily, the world of proverbs, sayings, adages, maxims, and plain old saws is various enough to say anything you want."
5179,"Since they are meant to cover all of life's vicissitudes from cradle to grave, they are bound to collide at times, sometimes obliquely, sometimes head-on."
5180,"Of course, she never quite conceded defeat: hope springs eternal in the human breast."
5181,"She continued to quote at me, and I requoted back."
5182,"But as she got older, her steel-trap memory turned into a steel sieve, and she became almost touchingly uncertain of her words."
5183,"She died in her eighty-third year, and though only her name and dates adorn her headstone, I often think of inscribing an addendum: A little advice goes a long way."
5184,My aunt did not leave behind much in the way of possessions.
5185,"Of course, just because these sayings cross each other up does not mean they are incorrect; they simply suit different occasions."
5186,"Literature, which is now my profession, teacher the importance of context."
5187,"It is just that, to employ a proverbial expression, he does not practise what he preaches."
5188,And Hamlet's turns of phrase are more intriguing. Or at least I thought so years ago when I identified with youth.
5189,"Nowadays, I feel an odd kinship with Polonius."
5190,"In fact, I have felt lately as if I were employing more proverbs in my own speech, maybe turning into my aunt--like aunt, like nephew."
5191,This would be a fine turnaround for someone whose first interest in language was as a proverb-basher.
5192,Somewhere in the background I can hear my aunt's reaction to this confession.
5193,Or as she might put it: She who laughs last laughs best. But we want to make flawed writing acceptable.
5194,"In semantic terms, the words in the above title belong to a specific domain in the English vocabulary with which every member of the human race achieves intimate familiarity."
5195,"The naked terms for such a traditionally taboo subject as the toilet have always proved too much to bear for polite society, which hastily covered the bare-cheeked shame of them with a blanket of euphemism."
5196,"It is not surprising, therefore, that there is an almost inexhaustible supply of paraphrases and synonymous terms in this field, ranging from the most tasteful euphemism to the most flagrant vulgarity."
5197,"While most of these bear testament to the wonderful versatility of the English language and the rich vein of humor that runs through our culture, some necessitate etymological investigation in order to uncover their roots and, in some cases, to explore changes in meaning."
5198,The word privy is one of the earliest euphemisms used in England; an anonymous writer at the turn of the fifteenth century advised whanne he sitteth at privy he schal not streyne him-silf to harde.
5199,"It is derived from the French word privé and the Latin privatus , both meaning private, and this is the specific sense in which the word entered the English language."
5200,"Privy and closet are examples of euphemism by metonymy, which is the substitution of the name of an attribute of a thing for the thing itself: a toilet is a private place, therefore a privy."
5201,"If one is to go by Florio's use of close-stool, it seems interchangeable with another, less notorious, term for a privy, the ajax."
5202,"Jakes is also of unknown origin; the most common suggestion for its roots is in the proper name Jacques or Jack , which is not unbelievable when we consider other examples such as jerry and john ."
5203,"The origin of jerry , like so many of these terms, can only be guessed at."
5204,All these are feasible surmises by the process of metonymy.
5205,"As the chamberpot is a great friend to those with bibulous tendencies, jerry might have become a pet-name for it."
5206,"Also at that time, rustic laborers in Italy used to have the number 100 painted on their privy-doors; to go al numero cento was an accepted idiom of the day: indeed, children used to have fun replacing the last zero with a one after the privy had been used."
5207,"The number 100 is not dissimilar in appearance to the word loo , and there were plenty of servicemen from the U.S.A. and England in Italy from 1943 onwards."
5208,"Terms which border on the vulgar tend to be onomatopoeic: examples include chuggie, duffs, dubs, biffy, honk , and thunderbox ."
5209,By far the most numerous group of terms is that which contains words only with a localized meaning.
5210,"It is this group that ensures steady growth in this most malleable domain of the English vocabulary, for the resources of the human imagination are limitless."
5211,For the best part of half a century I have lived on and off in a Windward Island of the now largely ex-British Caribbean.
5212,"The semantic of these former Crown Colonies is individual and anarchic, bearing in mind that academically, if no longer psychologically, they remain anglophone."
5213,"The small pocket of Windward Island semantic, if such it can be called, has nothing to do with the patois of adjacent French islands."
5214,The fact remains that no bush local understands French or wants to.
5215,"Far from inclining to French, these natives cleave to British schoolboy slang, a hard-dying lingo."
5216,Still more difficult to use with the confidence of a local is my gardener's sobriquet--Black Man.
5217,"There is little linguistic ruling available here, however attractive BeeWee speech rhythms may sound to the casual tourist."
5218,"It is simply sentimental to propose the contrary, as do the sophisticated proponents of multiculturalism, like George Lamming in Barbados."
5219,"What mostly characterizes Windward Island speech could be called a kind of linguistic laziness, and this has considerable charm, as a lot of laziness can."
5220,"Take the idiosyncrasy in the use of personal pronouns, that of the lack of, or reluctance to use, accusative and dative cases or even the possessive."
5221,We will do just as well for us or ours .
5222,"Or, from Shiva again: The moment we get we children off we hands we leavin' here."
5223,"Nevertheless, some elements of Windward speech can be regularized into a sort of grammar, particularly in verb tenses."
5224,"The constantly surprising ubiquity, in stores, dockyards, garages, banks, of the King James version of the Bible may account for what seem to visitors to be odd usages, variations often coming over at first as error; the universal use of the conditional would for the future will can lead to serious confusion, e.g., in legal documents."
5225,"Of course, these variants are regarded as errors by the Cambridge examiners, but it will be a sad day when they are expunged from the West Indian scene, since they make a response to shades of reality unavailable in middle-Atlantic BBC."
5226,"So do, surely, BeeWee intensifications, doubling the epithet; a Windward Islander may call a fruit sweet-sweet , one adjective not sufficing to express feelings about it enough."
5227,"Television has recently begun to inundate these incompetent but lovable little islands, embarrassing colonial deposits now handed over to sink or swim in independence."
5228,"Maybe I'm a dullard, but... the letter-to-the-editor writer began, then with nimble argument demonstrated that he was anything but."
5229,"It seemed to wear a thin, fuzzy coat of mildew, as if summoned for this rare duty from a cobwebbed trunk in the attic of obsolescence."
5230,"It got me thinking about other words that end in -ard , a process that inevitably involved hours of dictionary delving."
5231,"Unaided, I could conjure up only ten, not counting backguard and blow-hard which, while conforming to the pejorative pattern of the -ard words, were not formed as the others by the simple suffix addition."
5232,"My list, after dullard , counted dotard, bastard, buzzard, coward, dastard, drunkard, laggard, lollard, niggard and wizard ."
5233,"Of those, only the last would be taken today with equanimity, although wizard was not always complimentary."
5234,And what a rich lode of dormant invective I tapped!
5235,"The OED2e lists about five dozen -ard words to describe people of unsavory character or underdeveloped intellect, and all but the handful above now languish in dusty disuse."
5236,"Virtually all of them are derogatory, and some of them are so mordantly mean that I can only lament their loss--perhaps to a precursor wave of today's political correctitude?"
5237,The next question was this: What was it about the -ard ending that appealed to our badmouthing forebears?
5238,"Some time between the 8th and 12th centuries, German-speakers began honoring heroes and other eminences by adding -hard to their names, to denote hardy."
5239,"At first the English were content with unalloyed borrowings, but then began tacking the invidious -ard onto purely English words, producing the likes of drunkard, laggard , and sluggard ."
5240,"Before long, there were many, both imported and home-grown."
5241,"They fell into three main categories: words for fools, idlers, and wastrels; for people with other undesirable or downright anti-social attributes; and for those with some physical disability."
5242,More persecuted than censured were citizens who fell short of contemporary standards of physical perfection.
5243,"Members of a rebellious 16th-century French faction were called Guisards because of their extravagant get-ups; the word has become a common, if rarely used, noun for a masquerader or mummer."
5244,"Otherwise, snowiness notwithstanding, it is grey."
5245,Thus Spooner himself is supposed to have referred to Cambridge as a muddy bleak place.
5246,"When the first motorized vehicles appeared on the roads he opined that Automobiles are all very well, but for pure pleasure give me a well-boiled icicle."
5247,Some of our visitors must have been rather put off when my six-year-old daughter announced to them before dinner: We're going to have parrots and keys.
5248,"But even further back, in my own schooldays, the Spoonerism celebrated many triumphs."
5249,"We would ask each other, for instance, what was the difference between a bon mot and a fart."
5250,The answer was that the bon mot is a shaft of wit.
5251,"While on this subject, I may as well quote another of these prize questions: What is the difference between a warhorse and a carthorse?"
5252,"The answer is, to Spooner's eternal glory, that the warhorse darts into the fray."
5253,These definitions might have emerged from extensive trials.
5254,"The current edition was partly motivated by the recent political changes in South Africa, which resulted in the unbanning of organizations, individuals, and books."
5255,"Of all the countries in which English is a significant first language, South Africa is perhaps the most complex socially and linguistically."
5256,"Furthermore, English is not the only colonial language of the territory, for since 1948 the ruling Afrikaner nationalists have promoted Afrikaans as an essential language for advancement in the public service."
5257,"Finally, segregational laws in the country have tended to polarize the dialects of English along partially ethnic lines."
5258,"The DOSAE is in some respects a reflection of the contact history of South Africa, played out in terms of the English lexicon."
5259,"The more positive side of language and culture contact does show up, however, in the numerous terms for food and drink, entertainment, the landscape, terms of endearment, forms of address, and words of approval."
5260,"It is also through this and earlier editions of the DOSAE that one learned, to one's surprise, of the South African provenance of words like off-load unload, bottle store liquor store, butchery butcher's shop, and bond mortagage bond."
5261,The high proportion of Afrikaans words has frequently been singled out for comment by critics.
5262,"Other uncontroversial Afrikaans items include political and culinary terms widely used in South Africa, e.g., apartheid and biltong strips of sun-dried lean meat."
5263,He had been driving along in a hired car and had suddenly found himself entering a lane marked SLEGS ONLY.
5264,But how is a visitor expected to know that?
5265,"Slegs is one of the relatively few items marked in the DOSAE as Afrikaans, rather than English."
5266,"For example, as this marking is absent in the entry, tweetalig bilingual, we must infer that the authors now consider this to be an English item."
5267,"Surely we are dealing with code-switching here --the use of words and phrases from two languages within the same speech event for stylistic effect, with an audience that is capable of appreciating the play on words."
5268,Many of the Afrikaans words in DOSAE are similarly illustrated from examples involving bilingual word play by creative writers.
5269,The problem for the lexicographer is that code-switching is open-ended: almost any word or phrase from the one language can be interpolated into discourse from the other.
5270,"This is not a problem peculiar to DOSAE ; rather, it is one of the strongest challenges facing lexicographers of a vast number of languages in the twenty-first century, as English continues to spread, influence, and be influenced by languages all over the world in situations of intimate language contact."
5271,Visitors as well as locals who are faced with a barrage of acronyms in everyday usage will find many of them glossed in these pages.
5272,Every literate person has had experience with indexes and knows that there are good ones and bad ones.
5273,"It often astonishes me that publishers--at whose door such shortcomings must be laid--can put out books that contain a huge amount of valuable information, then effectively deny access to it by providing, in the worst case, no index at all and, in many instances, an improverished index."
5274,"As one who has prepared indexes of great variety, I recognize the many problems that one can encounter; still, these are not insurmountable, and there is no excuse for producing a work of some complexity without accompanying it by a thorough index."
5275,"The important thing is the notion of thoroughness: the indexer must try to anticipate and provide for a variety of users' needs in an index; users do not seek the same sort of information, and the effort must be made to imagine the uses to which a particular work will be put, then to provide the users with as many access points to the information as can reasonably be expected."
5276,"As I have dealt mainly with texts that were in machine-readable form, I have been able to develop techniques for extracting an index from a text, especially if the text is consistently styled typographically."
5277,"In other words, if information type A is consistently set in italics, type B in bold-face italics, type C in small capitals, and type D in boldface roman, if type E always appears in single quotation marks, and so forth, one can use this information to extract discrete categories of data for a variety of purposes."
5278,"Not all text is so highly stylized, and the present work deals with biographies, autobiographies, and fiction, which offer little opportunity for automatic extraction because the subjects suitable for indexing are often paraphrases of the words used in the text."
5279,"As this is a rather specialized work, we cannot devote the space to the full description that it merits among those who pursue its concerns."
5280,Those who are involved in indexing and are unaware of the existence of the Society of Indexers would be well served to join.
5281,"A History of the English Language, Too often, the best books of the past are cast aside to be replaced by nothing more than a rehash of them, frequently rifling earlier material on the legalistic grounds that it is out of copyright."
5282,"To those wont to steep themselves in the writings of the 19th century, a period marked by an emergence of scholarship and of the broad dissemination of knowledge, plumbing the delights of those writings not only for their content but for their controlled and mannered style yields great satisfaction."
5283,"One must be especially grateful to those who, rather than cast it aside as old-fashioned or outdated, undertake to modernize a classic, a policy that too few publishers pursue."
5284,"For me and scores of thousands of other students of language and literature, A.C. Baugh's book was the primer, the basic grammar on the history of English."
5285,"Long before the invention of the cliché user-friendly , that was an apt description of the Baugh , a work to be relied upon for substance, accuracy, readability."
5286,"Later, it became a useful reference, always handy on a nearby shelf, to which one could turn in those irritating lapses of memory of the niggling detail."
